atc_code,atc_description
c08d,Bloqueantes selectivos de canales de calcio con efectos cardíacos directos
c08db,Derivados de la benzotiazepina
c08db01,Diltiazem
c08da,Derivados de la fenilalquilamina
c08da01,Verapamilo
c08c,Bloqueantes selectivos de canales de calcio con efectos principalmente vasculares
c08ca,Derivados de la dihidropiridina
c08ca01,Amlodipino
c08ca12,Barnidipino
c08ca16,Clevidipino
c08ca02,Felodipino
c08ca09,Lacidipino
c08ca13,Lercanidipino
c08ca11,Manidipino
c08ca04,Nicardipino
c08ca05,Nifedipino
c08ca06,Nimodipino
c08ca07,Nisoldipino
c08ca08,Nitrendipino
c03,Diuréticos
c03d,Agentes ahorradores de potasio
c03da,Antagonistas de la aldosterona
c03da04,Eplerenona
c03da01,Espironolactona
c03da05,Finerenona
c03db,Otros agentes ahorradores de potasio
c03c,Diuréticos de techo alto
c03ca,"Sulfonamidas, monofármacos"
c03ca02,Bumetanida
c03ca01,Furosemida
c03ca03,Piretanida
c03ca04,Torasemida
c03b,"Diuréticos de techo bajo, excluyendo tiazidas"
c03bx,Otros diuréticos de techo bajo
c03ba,"Sulfonamidas, monofármacos"
c03ba04,Clortalidona
c03ba11,Indapamida
c03ba10,Xipamida
c03a,Diuréticos de techo bajo: tiazidas
c03aa,"Tiazidas, monofármacos"
c03aa03,Hidroclorotiazida
c03e,Diuréticos y agentes ahorradores de potasio en combinación
c03eb,Diuréticos de techo alto y agentes ahorradores de potasio
c03eb01,Furosemida y agentes ahorradores de potasio
c03ea,Diuréticos de techo bajo y agentes ahorradores de potasio
c03ea04,Altizida y agentes ahorradores de potasio
c03ea06,Clortalidona y agentes ahorradores de potasio
c03ea01,Hidroclorotiazida y agentes ahorradores de potasio
c03x,Otros diuréticos
c03xa,Antagonistas de la vasopresina
c03xa01,Tolvaptán
c03xw,Otros
c03xw91,Urea
c01,Terapia cardíaca
c01b,Antiarrítmicos de clase I y III
c01ba,Antiarrítmicos de clase IA
c01ba03,Disopiramida
c01ba13,Hidroquinidina
c01ba02,Procainamida
c01bb,Antiarrítmicos de clase IB
c01bb01,Lidocaína
c01bb02,Mexiletina
c01bc,Antiarrítmicos de clase IC
c01bc04,Flecainida
c01bc03,Propafenona
c01bd,Antiarrítmicos de clase III
c01bd01,Amiodarona
c01bd07,Dronedarona
c01bg,Otros antiarrítmicos de clase I y III
c01bg11,Vernakalant
c01c,Estimulantes cardíacos excluyendo glucósidos cardíacos
c01ca,Agentes adrenérgicos y dopaminérgicos
c01ca07,Dobutamina
c01ca04,Dopamina
c01ca26,Efedrina
c01ca24,Epinefrina
c01ca01,Etilefrina
c01ca06,Fenilefrina
c01ca02,Isoprenalina
c01ca17,Midodrina
c01ca03,Norepinefrina
c01ce,Inhibidores de la fosfodiesterasa
c01ce02,Milrinona
c01cx,Otros estimulantes cardíacos
c01cx09,Angiotensina ii
c01cx08,Levosimendán
c01a,Glucósidos cardíacos
c01aa,Glucósidos digitálicos
c01aa05,Digoxina
c01aa08,Metildigoxina
c01e,Otros preparados para el corazón
c01eb,Otros preparados para el corazón
c01eb10,Adenosina
c01eb16,Ibuprofeno
c01eb17,Ivabradina
c01eb24,Mavacamten
c01eb18,Ranolazina
c01eb21,Regadenosón
c01eb15,Trimetazidina
c01ea,Prostaglandinas
c01ea01,Alprostadil
c01d,Vasodilatadores usados en enfermedades cardíacas
c01da,Nitratos orgánicos
c01da08,Dinitrato de isosorbida
c01da14,Mononitrato de isosorbida
c01da02,Trinitrato de glicerilo
trinipatch-9330.html,Trinipatch
trinipatch-9329.html,Trinipatch
trinipatch-9328.html,Trinipatch
c01da52,"Trinitrato de glicerilo, combinaciones con"
c01dx,Otros vasodilatadores usados en enfermedades cardíacas
c01dx12,Molsidomina
c01dx22,Vericiguat
c04,Vasodilatadores periféricos
c04a,Vasodilatadores periféricos
c04ae,Alcaloides del ergot
c04ae04,Dihidroergocristina
c04ae54,"Dihidroergocristina, combinaciones con"
c04ae02,Nicergolina
c04ad,Derivados de la purina
c04ad03,Pentoxifilina
c04ax,Otros vasodilatadores periféricos
c04ax21,Naftidrofurilo
c04ax17,Vinburnina
c04ax57,"Vincamina, combinaciones con"
c05,Vasoprotectores
c05a,Agentes de uso tópico para el tratamiento de hemorroides y fisuras anales
c05ad,Anestésicos locales
c05ad03,Benzocaína
c05ad01,Lidocaína
c05aa,Corticosteroides
c05aa10,Acetónido de fluocinolona
c05aa11,Fluocinónida
c05aa01,Hidrocortisona
c05aa51,"Hidrocortisona, combinaciones con"
c05aa54,"Prednisolona, combinaciones con"
c05ax,Otros agentes de uso tópico para el tratamiento de hemorroides y fisuras anales
c05ax03,"Otras preparaciones, combinaciones"
c05ae,Relajantes musculares
c05ae01,Trinitrato de glicerilo
c05c,Agentes estabilizadores de capilares
c05ca,Bioflavonoides
c05ca03,Diosmina
c05ca53,"Diosmina, combinaciones con"
c05ca05,Hidrosmina
c05ca51,"Rutósido, combinaciones con"
c05ca04,Troxerutina
c05cx,Otros agentes estabilizadores de capilares
c05cx99,Escina
c05b,Terapia antivaricosa
c05bb,Agentes esclerosantes para inyección local
c05bb02,Polidocanol
c05bb04,Tetradecilsulfato de sodio
c05ba,Heparinas o heparinoides para uso tópico
c05ba03,Heparina
c05ba01,Heparinoides orgánicos
c05ba04,Pentosán polisulfato de sodio
c05bx,Otros agentes esclerosantes
c05bx01,Dobesilato de calcio
d,Dermatológicos
d06,Antibióticos y quimioterápicos para uso dermatológico
d06a,Antibióticos para uso tópico
d06ax,Otros antibióticos para uso tópico
d06ax01,Ácido fusídico
d06ax09,Mupirocina
d06ax04,Neomicina
d06ax14,Ozenoxacino
d06ax13,Retapamulina
d06aa,Tetraciclina y derivados
d06aa02,Clortetraciclina
d06aa03,Oxitetraciclina
d06b,Quimioterápicos para uso tópico
d06bb,Antivirales
d06bb03,Aciclovir
d06bb53,"Aciclovir, combinaciones con"
d06bb11,Docosanol
d06bb01,Idoxuridina
d06bb10,Imiquimod
d06bb06,Penciclovir
d06bb04,Podofilotoxina
d06bb12,Sinecatechines
d06bx,Otros quimioterápicos
d06bx02,Ingenol mebutato
d06bx01,Metronidazol
d06bx03,Tirbanibulina
d06ba,Sulfonamidas
d06ba01,Sulfadiazina argéntica
d06ba51,"Sulfadiazina de plata, combinaciones con"
d06ba05,Sulfanilamida
d01,Antifúngicos para uso dermatológico
d01b,Antifúngicos para uso sistémico
d01ba,Antifúngicos para uso sistémico
d01ba02,Terbinafina
d01a,Antifúngicos para uso tópico
d01ac,Derivados imidazólicos y triazólicos
d01ac10,Bifonazol
d01ac01,Clotrimazol
d01ac51,"Clotrimazol, combinaciones con"
d01ac17,Eberconazol
d01ac03,Econazol
d01ac12,Fenticonazol
d01ac16,Flutrimazol
d01ac08,Ketoconazol
d01ac02,Miconazol
d01ac52,"Miconazol, combinaciones con"
d01ac11,Oxiconazol
d01ac14,Sertaconazol
d01ac07,Tioconazol
d01ae,Otros preparados antifúngicos para uso tópico
d01ae16,Amorolfina
d01ae14,Ciclopirox
d01ae20,Combinaciones
d01ae02,Metilrosanilina
d01ae15,Terbinafina
d01ae18,Tolnaftato
d04,"Antipruriginosos incluyendo antihistamínicos, anestésicos, etc"
d04a,"Antipruriginosos, incluyendo antihistamínícos, anestésicos, etc."
d04ab,Anestésicos para uso tópico
d04ab01,Lidocaína
d04ab07,Pramocaína
d04aa,Antihistamínicos para uso tópico
d04aa32,Difenhidramina
d04aa13,Dimetindeno
d04aa10,Prometazina
d04aa04,Tripelenamina
d04ax,Otros antipruriginosos
d04ax92,"Ictiol, combinaciones con"
d05,Antipsoriásicos
d05b,Antipsoriásicos para uso sistémico
d05bx,Otros antipsoriásicos para uso sistémico
d05bx90,Dimetil fumarato
d05ba,Psoralenos para uso sistémico
d05ba02,Metoxsaleno
d05bb,Retinoides para el tratamiento de la psoriasis
d05bb02,Acitretina
d05a,Antipsoriásicos para uso tópico
d05aa,Alquitranes
d05ac,Derivados del antraceno
d05ac01,Ditranol
d05ax,Otros antipsoriásicos para uso tópico
d05ax02,Calcipotriol
d05ax52,"Calcipotriol, combinaciones con"
d05ax03,Calcitriol
d05ax04,Tacalcitol
d05ax05,Tazaroteno
d08,Antisépticos y desinfectantes
d08a,Antisépticos y desinfectantes
d08ac,Biguanidas y amidinas
d08ac02,Clorhexidina
d08ac52,"Clorhexidina, combinaciones con"
d08aj,Compuestos de amonio cuaternario
d08aj01,Cloruro de benzalconio
d08aj03,Cloruro de cetilpiridinio
d08al,Compuestos de plata
d08al01,Nitrato de plata
d08af,Derivados del nitrofurano
d08af01,Nitrofural
d08ax,Otros antisépticos y desinfectantes
d08ax08,Etanol
d08ax01,Peróxido de hidrógeno
d08ad,Productos con ácido bórico
d08ad91,Preparados con ácido bórico
d08ag,Productos con iodo
d08ag02,Povidona iodada
d08ag03,Yodo
d08ak,Productos mercuriales
d08ak04,Merbromina
d09,Apósitos con medicamentos
d09a,Apósitos con medicamentos
d09ax,Apósitos con parafina blanda
d09ax91,"Tul con bálsamo de perú, combinaciones con"
d09aa,Apósitos con pomada con antiinfecciosos
d09aa91,"Antibióticos, combinaciones con, en apósito"
d09aa61,"Benzalconio cloruro de, combinaciones con, en apósito"
d09aa09,Povidona iodada
d02,Emolientes y protectores
d02a,Emolientes y protectores
d02ac,Parafina blanda y productos con grasa
d02ac91,Vaselina
d02ab,Productos con zinc
d02ab92,"Zinc óxido, combinaciones con"
d02b,Protectores contra la radiación UV
d02bb,Protectores contra la radiación UV para uso sistémico
d02bb02,Afamelanotida
d11,Otros preparados dermatológicos
d11a,Otros preparados dermatológicos
d11ah,"Agentes de la dermatitis, excluyendo corticosteroides"
d11ah08,Abrocitinib
d11ah04,Alitretinoína
d11ah11,Delgocitinib
d11ah05,Dupilumab
d11ah10,Lebrikizumab
d11ah02,Pimecrolimus
d11ah09,Ruxolitinib
d11ah01,Tacrolimus
d11ah07,Tralokinumab
d11aa,Anhidróticos
d11aa01,Glicopirronio
d11ac,Champúes medicinales
d11ac30,Champues medicinales. otros
d11ac06,Povidona iodada
d11ac03,"Selenio, compuestos con"
d11ax,Otros productos dermatológicos
d11ax24,Ácido desoxicólico
d11ax21,Brimonidina
d11ax18,Diclofenaco
d11ax10,Finasterida
d11ax11,Hidroquinona
d11ax22,Ivermectina
d11ax06,Mequinol
d11ax01,Minoxidil
d11af,Preparados anti-verrugas y callicidas
verrupatch-10721.html,Verrupatch
verrupatch-12-mm-10719.html,Verrupatch 12 Mm
verrupatch-apositos-10718.html,Verrupatch Apositos
d10,Preparados antiacné
d10b,Preparados anti-acné para uso sistémico
d10bx,Otros preparados anti-acné para uso sistémico
d10ba,Retinoides para el tratamiento del acné
d10ba01,Isotretinoína
d10a,Preparados anti-acné para uso tópico
d10af,Antiinfecciosos para el tratamiento del acné
d10af01,Clindamicina
d10af51,"Clindamicina, combinaciones con"
d10af02,Eritromicina
d10af52,"Eritromicina, combinaciones con"
d10af05,Nadifloxacino
d10ax,Otros preparados anti- acné para uso tópico
d10ax03,Ácido azelaico
d10ae,Peróxidos
d10ae01,Peróxido de benzoílo
d10ad,Retinoides para uso tópico en acné
d10ad03,Adapaleno
d10ad53,"Adapaleno, combinaciones con"
d10ad04,Isotretinoína
d10ad01,Tretinoína
d10ad06,Trifaroteno
d07,Preparados dermatológicos con corticoesteroides
d07c,Corticosteroides en combinación con antibióticos
d07ca,Corticosteroides de baja potencia en combinación con antibióticos
d07ca01,Hidrocortisona con antibióticos
d07cb,Corticosteroides moderadamente potentes en combinación con antibióticos
d07cb01,Triamcinolona con antibióticos
d07cc,Corticosteroides potentes en combinación con antibióticos
d07cc04,Beclometasona con antibióticos
d07cc01,Betametasona con antibióticos
d07cc02,Fluocinolona con antibióticos
d07cc05,Fluocinónida con antibióticos
d07b,Corticosteroides en combinación con antisépticos
d07ba,Corticosteroides de baja potencia en combinación con antisépticos
d07ba04,Hidrocortisona con antisépticos
d07bc,Corticosteroides potentes en combinación con antisépticos
d07bc04,Diflucortolona con antisépticos
d07a,"Corticosteroides, monofármacos"
d07aa,Corticosteroides de baja potencia (grupo I)
d07aa02,Hidrocortisona
d07ab,Corticosteroides moderadamente potentes (grupo II)
d07ab02,Butirato de hidrocortisona
d07ab01,Clobetasona
d07ab04,Fluocortina
d07ab11,"Hidrocortisona, buteprato de"
d07ad,Corticosteroides muy potentes (grupo IV)
d07ad01,Clobetasol
d07ac,Corticosteroides potentes (grupo III)
d07ac16,Aceponato de hidrocortisona
d07ac14,Aceponato de metilprednisolona
d07ac04,Acetónido de fluocinolona
d07ac15,Beclometasona
d07ac01,Betametasona
d07ac10,Diflorasona
d07ac06,Diflucortolona
d07ac02,Fluclorolona
d07ac08,Fluocinónida
d07ac05,Fluocortolona
d07ac91,Flupamesona
d07ac17,Fluticasona
d07ac13,Mometasona
d07ac18,Prednicarbato
d07x,"Corticosteroides, otras combinaciones"
d07xa,"Corticosteroides de baja potencia, otras combinaciones"
d07xa01,Hidrocortisona
d07xa02,Prednisolona
d07xb,"Corticosteroides moderadamente potentes, otras combinaciones"
d07xb05,Dexametasona
d07xb04,Fluorometolona
d07xb02,Triamcinolona
d07xc,"Corticosteroides potentes, otras combinaciones"
d07xc01,Betametasona
d07xc03,Mometasona
d03,Preparados para el tratamiento de heridas y úlceras
d03a,Cicatrizantes
d03ax,Otros cicatrizantes
d03ax13,"Abedul, corteza"
d03ax96,"Bálsamo de perú, combinaciones con"
d03ax95,"Centella asiática extracto y neomicina, combinaciones con"
d03ax14,Centella asiática planta medicinal
d03ax94,Extracto de centella asiática
d03b,Enzimas
d03ba,Enzimas proteolíticas
d03ba03,Bromelainas
d03ba52,"Colagenasa, combinaciones con"
g,Sistema genitourinario y hormonas sexuales
g01,Antiinfecciosos y antisépticos ginecológicos
g01b,Antiinfecciosos y antisépticos en combinación con corticosteroides
g01ba,Antibióticos con corticosteroides
g01ba91,Neomicina con corticosteroides
g01a,Antiinfecciosos y antisépticos excluyendo combinaciones con corticosteroides
g01ad,Acidos orgánicos
g01aa,Antibióticos
g01aa10,Clindamicina
g01ac,Derivados de la quinolina
g01ac05,Cloruro decualinio
g01af,Derivados imidazólicos
g01af02,Clotrimazol
g01af20,Combinaciones de derivados imidazólicos
g01af12,Fenticonazol
g01af11,Ketoconazol
g01af01,Metronidazol
g01af04,Miconazol
g01af19,Sertaconazol
g01ax,Otros antiinfecciosos y antisépticos
g01ax91,"Benzalconio cloruro de, aluminio y potasio sulfato, combinaciones"
g01ax12,Ciclopirox
g01ax14,Fermento lactobacilo
g01ax11,Povidona iodada
g03,Hormonas sexuales y moduladores del sistema genital
g03b,Andrógenos
g03bb,Derivados de la (3) 5-androstanona
g03bb01,Mesterolona
g03ba,Derivados del (4) 3-oxoandrosteno
g03ba03,Testosterona
testopatch-6135.html,Testopatch
testopatch-6136.html,Testopatch
testopatch-6137.html,Testopatch
g03h,Antiandrógenos
g03hb,Antiandrógenos y estrógenos
g03hb01,Ciproterona y estrógeno
g03ha,"Antiandrógenos, monofármacos"
g03ha01,Ciproterona
g03a,Anticonceptivos hormonales para uso sistémico
g03ad,Anticonceptivos de emergencia
g03ad01,Levonorgestrel
g03ad02,Ulipristal
g03ac,Progestágenos
g03ac09,Desogestrel
g03ac10,Drospirenona
g03ac08,Etonogestrel
g03ac06,Medroxiprogesterona
g03aa,"Progestágenos y estrógenos, preparados de dosis fijas"
g03aa15,Clormadinona y etinilestadiol
g03aa09,Desogestrel y estrógeno
g03aa16,Dienogest y etinilestradiol
g03aa18,Drospirenona y estetrol
g03aa12,Drospirenona y estrógeno
g03aa10,Gestodeno y estrógeno
g03aa07,Levonorgestrel y estrógeno
g03aa14,Nomegestrol y estrógeno
g03aa13,Norelgestromina y estrógeno
g03aa11,Norgestimato y estrógeno
g03ab,"Progestágenos y estrógenos, preparados secuenciales"
g03ab05,Desogestrel y estrógeno
g03ab08,Dienogest y estrógeno
g03ab06,Gestodeno y estrógeno
g03ab03,Levonorgestrel y estrógeno
g03c,Estrógénos
g03ca,"Estrógenos naturales y semisintéticos, monofármacos"
g03ca03,Estradiol
g03ca04,Estriol
g03ca57,Estrógenos conjugados
g03ca09,Promestrieno
g03cc,"Estrógenos, combinaciones con otros fármacos"
g03cc07,Estrogenos conjugados y bazedoxifeno
g03cx,Otros estrógenos
g03cx01,Tibolona
g03g,Gonadotrofinas y otros estimulantes de la ovulación
g03gb,Estimulantes sintéticos de la ovulación
g03gb02,Clomifeno
g03ga,Gonadotrofinas
g03ga30,Combinaciones
g03ga09,Corifolitropina alfa
g03ga08,Coriogonadotropina alfa
g03ga05,Folitropina alfa
g03ga06,Folitropina beta
g03ga10,Folitropina delta
g03ga01,Gonadotrofina coriónica
g03ga02,Gonadotrofina humana de menopáusicas
g03ga07,Lutropina alfa
g03ga04,Urofolitropina
g03x,Otras hormonas sexuales y moduladores del sistema genital
g03xa,Antigonadotrofinas y agentes similares
g03xa01,Danazol
g03xb,Moduladores del receptor de progesterona
g03xb01,Mifepristona
g03xb02,Ulipristal
g03xc,Moduladores selectivos del receptor de estrógeno
g03xc02,Bazedoxifeno
g03xc05,Ospemifeno
g03xc01,Raloxifeno
g03xx,Otras hormonas sexuales y moduladores del sistema genital
g03xx01,Prasterona
g03d,Progestágenos
g03da,Derivados del (4) pregneno
g03da02,Medroxiprogesterona
g03da04,Progesterona
g03dc,Derivados del estreno
g03dc03,Linestrerol
g03dc02,Noretisterona
g03db,Derivados del pregnadieno
g03db08,Dienogest
g03f,Progestágenos y estrógenos en combinación
g03fa,"Progestágenos y estrógenos, combinaciones"
g03fa14,Didrogesterona y estrógeno
g03fa15,Dienogest y estrógeno
g03fa17,Drospirenona y estrógeno
g03fa01,Norestisterona y estrógeno
g03fa13,Norgestimato y estrógeno
g03fa04,Progesterona y estrógeno
g03fb,"Progestágenos y estrógenos, preparados secuenciales"
g03fb08,Didrogesterona y estrógeno
g03fb06,Medroxiprogesterona y estrógeno
g03fb05,Noretisterona y estrógeno
g03fb01,Norgestrel y estrógeno
g02,Otros productos ginecológicos
g02b,Anticonceptivos para uso tópico
g02ba,Anticonceptivos intrauterinos
g02ba03,Diu de plástico con progestágeno
g02bb,Anticonceptivos intravaginales
g02bb01,Anillo vaginal con progestágeno y estrógeno
g02c,Otros productos ginecológicos
g02cb,Inhibidores de la prolactina
g02cb01,Bromocriptina
g02cb03,Cabergolina
g02cb04,Quinagolida
g02cx,Otros productos ginecológicos
g02cx01,Atosiban
g02cx06,Fezolinetant
g02cx04,Rizoma de cimicifuga
g02cx03,Vitex agnus castus fruto
g02cc,Productos antiinflamatorios para administración vaginal
g02cc03,Bencidamina
g02cc91,Tetridamina
g02ca,Simpaticomiméticos que inhiben el trabajo de parto
g02ca01,Ritodrina
g02a,Uterotonicos
g02ab,Alcaloides del ergot
g02ab01,Metilergometrina
g02ad,Prostaglandinas
g02ad02,Dinoprostona
g02ad06,Misoprostol
g04,Productos de uso urológico
g04c,Fármacos usados en la hipertrofia prostática benigna
g04ca,Antagonistas de los receptores alfa adrenérgicos
g04ca01,Alfuzosina
g04ca04,Silodosina
g04ca02,Tamsulosina
g04ca52,Tamsulosina y dutasterida
g04ca53,Tamsulosina y solifenacina
g04ca03,Terazosina
g04cb,Inhibidores de la testosterona 5-alfa reductasa
g04cb02,Dutasterida
g04cb01,Finasterida
g04cb51,Finasterida y tadalafilo
g04cx,Otros fármacos usados en la hipertrofia prostática benigna
g04cx92,"Antiadenoma próstata, extracto de, combinaciones con"
g04cx01,Prunus africanae cortex
g04cx51,Pygeum africanum combinaciones con
g04cx02,Sabalis serrulatae fructus
g04cx52,Serenoa repens combinaciones con
g04b,"Otros productos de uso urológico, incluyendo antiespasmódicos"
g04bd,Antiespasmódicos urinarios
g04bd09,Cloruro de trospio
g04bd10,Darifenacina
g04bd13,Desfesoterodina
g04bd11,Fesoterodina
g04bd02,Flavoxato
g04bd12,Mirabegron
g04bd04,Oxibutinina
g04bd06,Propiverina
g04bd08,Solifenacina
g04bd07,Tolterodina
g04bd15,Vibegrón
g04be,Fármacos usados en disfunción eréctil
g04be01,Alprostadil
g04be10,Avanafilo
g04be03,Sildenafilo
g04be08,Tadalafilo
g04be09,Vardenafilo
g04bx,Otros productos urológicos
g04bx03,Ácido acetohidroxámico
g04bx14,Dapoxetina
g04bx91,Lespedeza capitata
g04bx15,Pentosan polisulfato de sodio
g04bc,Solventes de concreciones urinarias
g04bc91,Citrato de potasio
h,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
h02,Corticosteroides para uso sistémico
h02b,"Corticosteroides para uso sistémico, combinaciones"
h02bx,"Corticosteroides para uso sistémico, combinaciones"
h02bx92,"Dexametasona y clemastina, combinaciones con"
h02bx93,"Prednisolona y clorfenamina, combinaciones con"
h02a,"Corticosteroides para uso sistémico, monofármacos"
h02ab,Glucocorticoides
h02ab01,Betametasona
h02ab13,Deflazacort
h02ab02,Dexametasona
h02ab09,Hidrocortisona
h02ab04,Metilprednisolona
h02ab05,Parametasona
h02ab06,Prednisolona
h02ab07,Prednisona
h02ab08,Triamcinolona
h02ab18,Vamorolona
h02aa,Mineralocorticoides
h02aa02,Fludrocortisona
h02c,Preparados contra las hormonas adrenales
h02ca,Anticorticosteroides
h02ca02,Osilodrostat
h05,Homeostasis del calcio
h05b,Agentes antiparatiroideos
h05bx,Otros agentes antiparatiroideos
h05bx05,Calcifediol
h05bx01,Cinacalcet
h05bx04,Etelcalcetida
h05bx02,Paricalcitol
h05ba,Preparados con calcitonina
h05ba01,"Calcitonina (de salmón, sintética)"
h05ba04,Elcatonina
h05a,Hormonas paratiroideas y análogos
h05aa,Hormonas paratiroideas y análogos
h05aa04,Abaloparatida
h05aa03,Hormonas paratiroideas
h05aa05,Palopegteriparatida
h05aa02,Teriparatida
h01,Hormonas hipofisarias e hipotalámicas y sus análogos
h01a,Hormonas del lóbulo anterior de la hipófisis y sus análogos
h01aa,Acth
h01aa02,Tetracosáctida
h01ax,Otras hormonas del lóbulo anterior de la hipófisis y sus análogos
h01ax01,Pegvisomat
h01ac,Somatropina y agonistas de la somatropina
h01ac03,Mecasermina
h01ac07,Somapacitán
h01ac08,Somatrogón
h01ac01,Somatropina
h01b,Hormonas del lóbulo posterior de la hipófisis
h01bb,Oxitocina y análogos
h01bb03,Carbetocina
h01bb02,Oxitocina
h01ba,Vasopresina y análogos
h01ba02,Desmopresina
h01ba04,Terlipresina
h01ba01,Vasopresina (argipresina)
h01c,Hormonas hipotalámicas
h01cc,Hormonas liberadoras de antigonadotrofinas
h01cc02,Cetrorelix
h01cc01,Ganirelix
h01cc04,Linzagolix
h01cc54,"Relugolix, estradiol y norestisterona"
h01ca,Hormonas liberadoras de gonadotrofinas
h01ca02,Nafarelina
h01cb,Somatostatina y sus análogos
h01cb03,Lanreotida
h01cb02,Octreotida
h01cb05,Pasireotida
h01cb01,Somatostatina
h04,Hormonas pancreáticas
h04a,Hormonas glucogenolíticas
h04aa,Hormonas glucogenolíticas
h04aa01,Glucagon
h03,Terapia tiroidea
h03b,Preparados antitiroideos
h03bb,Derivados imidazólicos que contienen azufre
h03bb01,Carbimazol
h03bb02,Tiamazol
h03a,Preparados de hormona tiroidea
h03aa,Hormonas tiroideas
h03aa01,Levotiroxina sódica
h03aa02,Liotironina sódica
h03c,Terapia con iodo
h03ca,Terapia con iodo
h03ca91,Ioduro potásico
j,Antiinfecciosos para uso sistémico
j01,Antibacterianos para uso sistémico
j01g,Aminoglucósidos antibacterianos
j01ga,Estreptomicinas
j01ga01,Estreptomicina
j01gb,Otros aminoglucósidos
j01gb06,Amikacina
j01gb03,Gentamicina
j01gb01,Tobramicina
j01c,"Antibacterianos betalactámicos, penicilinas"
j01cr,"Combinaciones de penicilinas, incluyendo inhibidores de la betalactamasa"
j01cr02,Amoxicilina e inhibidores de la betalactamasa
j01cr01,Ampicilina e inhibidores de la betalactamasa
j01cr05,Piperacilina e inhibidores de la betalactamasa
j01cg,Inhibidores de la betalactamasa
j01cg01,Sulbactam
j01ca,Penicilinas con espectro ampliado
j01ca04,Amoxicilina
j01ca01,Ampicilina
j01ca51,"Ampicilina, combinaciones con"
j01ca08,Pivmecilinam
j01cf,Penicilinas resistentes a la betalactamasa
j01cf02,Cloxacilina
j01ce,Penicilinas sensibles a la betalactamasa
j01ce01,Bencilpenicilina
j01ce08,Benzatina bencilpenicilina
j01ce30,Combinaciones
j01ce02,Fenoximetilpenicilina
j01ce10,Fenoximetilpenicilina benzatina
j01ce09,Penicilina procaína
j01r,Combinaciones de antibacterianos
j01ra,Combinaciones de antibacterianos
j01ra04,"Espiramicina, combinación con otros antibacterianos"
j01f,"Macrólidos, lincosamidas y estreptograminas"
j01ff,Lincosamidas
j01ff01,Clindamicina
j01ff02,Lincomicina
j01fa,Macrólidos
j01fa10,Azitromicina
j01fa09,Claritromicina
j01fa01,Eritromicina
j01fa02,Espiramicina
j01fa07,Josamicina
j01fa11,Miocamicina
j01fa06,Roxitromicina
j01fa15,Telitromicina
j01x,Otros antibacterianos
j01xe,Derivados del nitrofurano
j01xe01,Nitrofurantoína
j01xd,Derivados imidazólicos
j01xd01,Metronidazol
j01xc,Esteroides antibacterianos
j01xc01,Ácido fusídico
j01xa,Glicopéptidos antibacterianos
j01xa04,Dalbavancina
j01xa05,Oritavancina
j01xa02,Teicoplanina
j01xa03,Telavancina
j01xa01,Vancomicina
j01xx,Otros antibacterianos
j01xx09,Daptomicina
j01xx01,Fosfomicina
j01xx08,Linezolid
j01xx11,Tedizolid
j01xb,Polimixinas
j01xb01,Colistina
j01d,Otros antibacterianos betalactámicos
j01de,Cefalosporinas de cuarta generación
j01de01,Cefepima
j01de51,Cefepima e inihibidores de la betalactamasa
j01db,Cefalosporinas de primera generación
j01db05,Cefadroxilo
j01db01,Cefalexina
j01db04,Cefazolina
j01dc,Cefalosporinas de segunda generación
j01dc04,Cefaclor
j01dc12,Cefminox
j01dc06,Cefonicida
j01dc01,Cefoxitina
j01dc02,Cefuroxima
j01dd,Cefalosporinas de tercera generación
j01dd16,Cefditoreno
j01dd08,Cefixima
j01dd01,Cefotaxima
j01dd13,Cefpodoxima
j01dd02,Ceftazidima
j01dd52,Ceftazidima e inhibidores de la betalactamasa
j01dd14,Ceftibuteno
j01dd04,Ceftriaxona
j01dh,Derivados del carbapenem
j01dh03,Ertapenem
j01dh51,Imipenem y cilastatina
j01dh56,"Imipenem,cilastatina y relebactam"
j01dh02,Meropenem
j01dh52,Meropenem y vaborbactam
j01df,Monobactámicos
j01df01,Aztreonam
j01df51,Aztreonam e inihibidores de la betalactamasa
j01di,Otras cefalosporinas
j01di04,Cefiderocol
j01di02,Ceftarolina fosamilo
j01di01,Ceftobiprol medocarilo
j01di54,Ceftolozano e inhibidores de la betalactamasa
j01m,Quinolonas antibacterianas
j01ma,Fluoroquinolonas
j01ma02,Ciprofloxacino
j01ma23,Delafloxacino
j01ma12,Levofloxacino
j01ma14,Moxifloxacino
j01ma06,Norfloxacino
j01ma01,Ofloxacino
j01ma13,Trovafloxacino
j01mb,Otras quinolonas
j01mb04,Ácido pipemídico
j01e,Sulfonamidas y trimetoprima
j01ee,"Combinaciones de sulfonamidas y trimetoprima, incluyendo derivados"
j01ee01,Sulfametoxazol y trimetoprima
j01eb,Sulfonamidas de acción corta
j01eb20,Combinaciones
j01ec,Sulfonamidas de acción intermedia
j01ec02,Sulfadiazina
j01ea,Trimetoprima y derivados
j01ea01,Trimetoprima
j01a,Tetraciclinas
j01aa,Tetraciclinas
j01aa02,Doxiciclina
j01aa92,"Doxiciclina y enzimas, combinaciones con"
j01aa13,Eravaciclina
j01aa08,Minociclina
j01aa07,Tetraciclina
j01aa12,Tigeciclina
j02,Antimicóticos para uso sistémico
j02a,Antimicóticos para uso sistémico
j02aa,Antibióticos
